practice_group,practice,region,office,city,state,final_url,displayed_phone,kw_test_url
"employment","Employment Law","Statewide","—","California","CA","https://results.wilshirelawfirm.com/employment-lawyer/","(800) 522-7274","https://results.wilshirelawfirm.com/employment-lawyer/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles (office)","Los Angeles","CA","https://results.wilshirelawfirm.com/employment-lawyer/los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/los-angeles/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Downtown Los Angeles","CA","https://results.wilshirelawfirm.com/employment-lawyer/downtown-los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/downtown-los-angeles/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Hollywood","CA","https://results.wilshirelawfirm.com/employment-lawyer/hollywood/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/hollywood/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Glendale","CA","https://results.wilshirelawfirm.com/employment-lawyer/glendale/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/glendale/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Pasadena","CA","https://results.wilshirelawfirm.com/employment-lawyer/pasadena/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/pasadena/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Burbank","CA","https://results.wilshirelawfirm.com/employment-lawyer/burbank/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/burbank/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Santa Monica","CA","https://results.wilshirelawfirm.com/employment-lawyer/santa-monica/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/santa-monica/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Inglewood","CA","https://results.wilshirelawfirm.com/employment-lawyer/inglewood/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/inglewood/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Van Nuys","CA","https://results.wilshirelawfirm.com/employment-lawyer/van-nuys/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/van-nuys/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","East Los Angeles","CA","https://results.wilshirelawfirm.com/employment-lawyer/east-los-angeles/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/east-los-angeles/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Koreatown","CA","https://results.wilshirelawfirm.com/employment-lawyer/koreatown/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/koreatown/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Compton","CA","https://results.wilshirelawfirm.com/employment-lawyer/compton/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/compton/?kw={keyword}"
"employment","Employment Law","Los Angeles","Los Angeles","Whittier","CA","https://results.wilshirelawfirm.com/employment-lawyer/whittier/","(213) 329-7576","https://results.wilshirelawfirm.com/employment-lawyer/whittier/?kw={keyword}"
"employment","Employment Law","Los Angeles","Beverly Hills (office)","Beverly Hills","CA","https://results.wilshirelawfirm.com/employment-lawyer/beverly-hills/","(310) 879-1030","https://results.wilshirelawfirm.com/employment-lawyer/beverly-hills/?kw={keyword}"
"employment","Employment Law","Los Angeles","Beverly Hills","West Hollywood","CA","https://results.wilshirelawfirm.com/employment-lawyer/west-hollywood/","(310) 879-1030","https://results.wilshirelawfirm.com/employment-lawyer/west-hollywood/?kw={keyword}"
"employment","Employment Law","Los Angeles","Beverly Hills","Culver City","CA","https://results.wilshirelawfirm.com/employment-lawyer/culver-city/","(310) 879-1030","https://results.wilshirelawfirm.com/employment-lawyer/culver-city/?kw={keyword}"
"employment","Employment Law","Los Angeles","Beverly Hills","Westwood","CA","https://results.wilshirelawfirm.com/employment-lawyer/westwood/","(310) 879-1030","https://results.wilshirelawfirm.com/employment-lawyer/westwood/?kw={keyword}"
"employment","Employment Law","Los Angeles","Beverly Hills","Sherman Oaks","CA","https://results.wilshirelawfirm.com/employment-lawyer/sherman-oaks/","(310) 879-1030","https://results.wilshirelawfirm.com/employment-lawyer/sherman-oaks/?kw={keyword}"
"employment","Employment Law","Los Angeles","Torrance (office)","Torrance","CA","https://results.wilshirelawfirm.com/employment-lawyer/torrance/","(310) 307-3316","https://results.wilshirelawfirm.com/employment-lawyer/torrance/?kw={keyword}"
